views,uploader,county_code
75,,1001
145,1,1001
555,,1003
796,1,1003
50,1,1005
26,,1005
19,1,1007
3,,1007
65,1,1009
32,,1009
19,1,1011
4,,1011
33,1,1013
15,,1013
258,1,1015
200,,1015
83,1,1017
43,,1017
41,1,1019
29,,1019
29,1,1021
42,,1021
18,,1023
23,1,1023
7,1,1025
3,,1025
2,1,1027
2,,1027
4,1,1029
224,1,1031
134,,1031
31,,1033
107,1,1033
2,1,1035
2,,1035
71,1,1039
28,,1039
7,1,1041
3,,1041
162,1,1043
67,,1043
156,1,1045
124,,1045
34,1,1047
17,,1047
160,1,1049
80,,1049
221,1,1051
114,,1051
57,1,1053
40,,1053
149,1,1055
77,,1055
9,,1057
19,1,1057
6,1,1059
1,,1059
28,1,1061
15,,1061
4,,1065
8,1,1065
5,1,1067
5,,1067
616,1,1069
262,,1069
89,1,1071
27,,1071
1554,,1073
4255,1,1073
4,,1075
2,1,1075
181,1,1077
87,,1077
7,1,1079
12,,1079
763,1,1081
299,,1081
113,,1083
247,1,1083
1,,1085
33,1,1087
12,,1087
1900,1,1089
807,,1089
15,,1091
12,1,1091
88,1,1093
49,,1093
336,1,1095
197,,1095
1063,1,1097
462,,1097
66,1,1099
38,,1099
1118,1,1101
430,,1101
385,1,1103
190,,1103
2,1,1105
1,,1105
6,,1107
6,1,1107
74,1,1109
37,,1109
6,1,1111
76,,1113
132,1,1113
97,,1115
140,1,1115
594,1,1117
273,,1117
9,1,1119
97,1,1121
91,,1121
83,1,1123
55,,1123
316,,1125
680,1,1125
74,,1127
116,1,1127
6,1,1129
9,,1129
56,1,1133
44,,1133
3,1,2016
2278,1,2020
809,,2020
30,1,2050
2,,2050
1,,2060
10,1,2068
2,,2068
1,,2070
386,1,2090
122,,2090
11,1,2100
1,,2100
452,1,2110
98,,2110
163,1,2122
56,,2122
91,1,2130
25,,2130
30,1,2150
13,,2150
259,,2170
545,1,2170
25,1,2180
6,,2180
11,,2185
11,1,2185
53,1,2220
8,,2220
38,1,2232
6,,2232
2,1,2240
4,,2240
49,1,2261
12,,2261
13,1,2280
3,,2280
68,1,4001
19,,4001
410,1,4003
180,,4003
815,1,4005
195,,4005
145,1,4007
78,,4007
59,1,4009
23,,4009
7,,4011
28,1,4011
44,1,4012
19,,4012
26344,1,4013
11239,,4013
773,1,4015
546,,4015
328,1,4017
188,,4017
6411,1,4019
2006,,4019
408,,4021
795,1,4021
158,1,4023
71,,4023
1066,1,4025
443,,4025
434,1,4027
236,,4027
17,1,5001
7,,5001
2,,5003
11,1,5003
278,1,5005
155,,5005
888,1,5007
440,,5007
122,1,5009
47,,5009
6,,5011
3,1,5011
3,1,5013
76,1,5015
33,,5015
6,1,5017
4,,5017
51,1,5019
23,,5019
12,,5021
6,1,5021
47,1,5023
32,,5023
29,1,5027
156,,5027
10,1,5029
5,,5029
207,,5031
330,1,5031
90,1,5033
81,,5033
42,1,5035
17,,5035
8,,5037
18,1,5037
1,1,5039
11,,5041
22,1,5041
13,,5043
35,1,5043
509,1,5045
255,,5045
64,1,5047
55,,5047
20,1,5049
18,,5049
379,1,5051
198,,5051
92,1,5053
79,,5053
78,1,5055
34,,5055
6,,5057
23,1,5057
39,1,5059
24,,5059
2,,5061
4,1,5061
52,1,5063
23,,5063
10,,5065
23,1,5067
36,,5067
138,1,5069
26,,5069
64,1,5071
23,,5071
10,1,5075
13,,5075
2,1,5077
1,1,5079
1,,5079
9,1,5081
9,,5081
19,1,5083
14,,5083
141,,5085
457,1,5085
8,1,5087
2,,5087
27,1,5089
7,,5089
61,1,5091
49,,5091
71,1,5093
49,,5093
1,1,5095
1,,5095
2,,5097
3,,5099
10,1,5099
44,1,5101
23,,5101
59,1,5103
8,,5103
4,1,5105
7,,5105
22,1,5107
10,,5107
4,1,5109
2,,5109
22,1,5111
12,,5111
12,1,5113
5,,5113
307,1,5115
107,,5115
1852,1,5119
870,,5119
17,1,5121
6,,5121
7,1,5123
31,,5123
98,,5125
201,1,5125
1,1,5127
8,,5127
278,,5131
400,1,5131
40,1,5133
50,,5133
17,1,5135
11,,5135
42,1,5137
19,,5137
44,,5139
73,1,5139
33,1,5141
20,,5141
1373,1,5143
447,,5143
65,,5145
136,1,5145
1,,5147
9,,5149
35,1,5149
12717,1,6001
2806,,6001
37,,6005
43,1,6005
816,1,6007
365,,6007
255,1,6009
128,,6009
33,1,6011
31,,6011
6263,1,6013
1833,,6013
125,1,6015
53,,6015
1162,1,6017
471,,6017
2803,1,6019
1427,,6019
30,1,6021
16,,6021
3124,1,6023
935,,6023
477,1,6025
290,,6025
103,1,6027
34,,6027
1646,,6029
3880,1,6029
303,1,6031
155,,6031
247,1,6033
120,,6033
104,,6035
225,1,6035
82408,1,6037
25476,,6037
399,1,6039
185,,6039
2548,1,6041
464,,6041
857,1,6043
277,,6043
683,1,6045
214,,6045
611,1,6047
350,,6047
332,1,6049
99,,6049
26,,6051
122,1,6051
1534,1,6053
521,,6053
754,1,6055
175,,6055
750,1,6057
257,,6057
18458,1,6059
7199,,6059
2200,1,6061
998,,6061
13,,6063
58,1,6063
10831,1,6065
4948,,6065
8924,1,6067
3132,,6067
187,1,6069
64,,6069
9283,1,6071
4372,,6071
33608,1,6073
10469,,6073
53168,1,6075
11434,,6075
1906,1,6077
964,,6077
2133,1,6079
668,,6079
6130,1,6081
1264,,6081
3073,1,6083
830,,6083
17537,1,6085
4572,,6085
2193,1,6087
475,,6087
759,1,6089
451,,6089
8,1,6091
116,1,6093
32,,6093
1420,1,6095
515,,6095
3238,1,6097
639,,6097
1452,1,6099
740,,6099
424,1,6101
208,,6101
160,1,6103
69,,6103
52,1,6105
9,,6105
852,1,6107
508,,6107
124,1,6109
85,,6109
4692,1,6111
1823,,6111
3089,1,6113
878,,6113
109,1,6115
70,,6115
1962,1,8001
840,,8001
136,1,8003
52,,8003
5280,1,8005
2145,,8005
180,1,8007
118,,8007
53,1,8011
20,,8011
4167,1,8013
1125,,8013
779,1,8014
277,,8014
154,1,8015
42,,8015
10,1,8019
4,,8019
5,,8021
10,1,8021
1,1,8023
1,1,8025
15,,8027
55,1,8027
212,1,8029
72,,8029
16206,1,8031
6422,,8031
2475,1,8035
889,,8035
426,1,8037
197,,8037
48,1,8039
25,,8039
4910,1,8041
2839,,8041
67,1,8043
18,,8043
232,1,8045
113,,8045
46,1,8047
22,,8047
105,1,8049
64,,8049
54,,8051
132,1,8051
3,1,8053
10,,8053
7,1,8055
6,,8055
5530,1,8059
2105,,8059
33,1,8063
16,,8063
88,1,8065
43,,8065
158,,8067
437,1,8067
905,,8069
2460,1,8069
45,1,8071
21,,8071
27,1,8073
12,,8073
86,1,8075
37,,8075
1254,1,8077
499,,8077
5,1,8079
3,,8079
73,1,8081
42,,8081
69,1,8083
27,,8083
336,1,8085
151,,8085
216,1,8087
280,,8087
205,1,8089
112,,8089
8,,8091
15,1,8091
31,1,8093
18,,8093
11,1,8095
6,,8095
333,1,8097
96,,8097
39,,8099
108,1,8099
566,1,8101
354,,8101
2,1,8103
31,1,8105
15,,8105
153,1,8107
49,,8107
16,1,8109
11,,8109
1,1,8111
67,1,8113
28,,8113
3,1,8115
111,,8117
345,1,8117
125,1,8119
70,,8119
1643,1,8123
673,,8123
5,1,8125
1,,8125
9113,1,9001
2911,,9001
5513,1,9003
1591,,9003
1337,1,9005
383,,9005
902,1,9007
282,,9007
5902,1,9009
2119,,9009
1614,1,9011
562,,9011
893,1,9013
255,,9013
578,1,9015
258,,9015
607,1,10001
232,,10001
4354,1,10003
1136,,10003
457,,10005
1386,1,10005
5481,1,12001
2798,,12001
158,1,12003
77,,12003
1932,1,12005
1151,,12005
119,1,12007
39,,12007
4542,,12009
9384,1,12009
17911,1,12011
11461,,12011
81,,12013
435,1,12013
1531,1,12015
510,,12015
2231,1,12017
1010,,12017
1065,1,12019
1626,,12019
2975,1,12021
1398,,12021
418,1,12023
216,,12023
144,1,12027
52,,12027
109,1,12029
241,,12029
8040,1,12031
10605,,12031
3053,1,12033
1977,,12033
1361,1,12035
2357,,12035
343,1,12037
150,,12037
110,,12039
409,1,12039
12,1,12041
17,,12041
4,1,12043
1,,12043
14,,12045
43,1,12045
31,1,12047
18,,12047
122,1,12049
51,,12049
123,1,12051
116,,12051
3056,1,12053
2946,,12053
319,,12055
553,1,12055
26655,1,12057
16686,,12057
45,1,12059
30,,12059
1224,1,12061
817,,12061
143,1,12063
66,,12063
18,1,12065
5,,12065
1,1,12067
5649,1,12069
4235,,12069
8874,1,12071
4024,,12071
5266,1,12073
1820,,12073
128,1,12075
82,,12075
6,,12077
7,1,12077
41,1,12079
3,,12079
2121,,12081
4881,1,12081
4334,1,12083
2086,,12083
447,,12085
1121,1,12085
27881,1,12086
26484,,12086
559,1,12087
378,,12087
433,1,12089
524,,12089
1476,,12091
2576,1,12091
111,1,12093
163,,12093
20455,,12095
27290,1,12095
5530,1,12097
4413,,12097
13345,1,12099
11075,,12099
7828,1,12101
5804,,12101
20111,1,12103
23113,,12103
9309,1,12105
5377,,12105
202,,12107
420,1,12107
2874,1,12109
3823,,12109
4619,1,12111
7484,,12111
3556,1,12113
3470,,12113
4374,,12115
7848,1,12115
9671,1,12117
6398,,12117
1665,1,12119
1499,,12119
348,1,12121
277,,12121
150,1,12123
118,,12123
757,1,12125
356,,12125
8120,1,12127
6377,,12127
219,1,12129
193,,12129
539,1,12131
260,,12131
41,1,12133
30,,12133
24,1,13001
9,,13001
11,,13003
22,1,13003
16,1,13005
23,,13005
245,1,13009
86,,13009
25,1,13011
11,,13011
379,1,13013
208,,13013
204,1,13015
124,,13015
36,1,13017
44,,13017
23,1,13019
8,,13019
624,1,13021
222,,13021
13,1,13023
10,,13023
24,1,13025
15,,13025
5,1,13027
8,,13027
156,1,13029
54,,13029
365,1,13031
130,,13031
19,1,13033
6,,13033
57,1,13035
19,,13035
262,1,13039
114,,13039
19,1,13043
23,,13043
402,1,13045
201,,13045
215,1,13047
85,,13047
9,1,13049
4,,13049
1357,1,13051
466,,13051
54,1,13053
22,,13053
35,1,13055
25,,13055
1243,1,13057
585,,13057
511,,13059
1453,1,13059
1,,13061
456,1,13063
246,,13063
2,1,13065
3633,1,13067
1286,,13067
112,1,13069
54,,13069
138,1,13071
67,,13071
249,,13073
521,1,13073
27,1,13075
15,,13075
404,1,13077
215,,13077
4,1,13079
3,,13079
36,1,13081
16,,13081
14,,13083
28,1,13083
84,1,13085
36,,13085
15,,13087
33,1,13087
748,,13089
3547,1,13089
9,1,13091
4,,13091
6,,13093
15,1,13093
174,,13095
309,1,13095
421,1,13097
174,,13097
2,1,13099
150,1,13103
70,,13103
32,1,13105
16,,13105
47,1,13107
16,,13107
2,1,13109
1,,13109
174,1,13111
101,,13111
687,1,13113
237,,13113
224,1,13115
146,,13115
695,1,13117
298,,13117
42,1,13119
22,,13119
8214,,13121
23820,1,13121
154,1,13123
73,,13123
165,,13127
265,1,13127
121,1,13129
110,,13129
29,1,13131
17,,13131
69,1,13133
60,,13133
4480,1,13135
1846,,13135
50,1,13137
34,,13137
686,1,13139
437,,13139
4,1,13141
24,1,13143
18,,13143
28,1,13145
6,,13145
86,1,13147
45,,13147
11,1,13149
1,,13149
321,,13151
864,1,13151
780,1,13153
353,,13153
3,1,13155
409,1,13157
289,,13157
14,1,13159
3,,13159
10,1,13161
5,,13161
31,1,13163
3,,13163
2,,13165
7,1,13167
5,,13167
101,1,13169
67,,13169
9,,13171
19,1,13171
3,,13173
7,1,13173
94,1,13175
52,,13175
4,1,13177
7,,13177
166,1,13179
64,,13179
8,,13181
15,1,13181
376,1,13185
148,,13185
550,1,13187
315,,13187
14,1,13189
9,,13189
17,1,13191
16,,13191
4,1,13193
4,,13193
7,1,13195
5,,13195
3,,13197
3,1,13197
7,1,13199
7,,13199
3,1,13201
1,,13201
30,1,13205
6,,13205
34,1,13207
21,,13207
15,1,13211
51,,13211
94,1,13213
37,,13213
357,,13215
842,1,13215
263,1,13217
134,,13217
59,1,13219
27,,13219
184,1,13223
84,,13223
55,1,13225
30,,13225
63,,13227
135,1,13227
29,1,13229
20,,13229
3,,13231
4,1,13231
79,,13233
77,1,13233
6,,13235
12,1,13235
15,1,13237
10,,13237
19,1,13239
3,,13239
1,,13241
10,1,13241
2,1,13243
668,1,13245
255,,13245
213,1,13247
84,,13247
2,1,13249
20,1,13251
7,,13251
2,1,13253
49,,13255
98,1,13255
38,1,13257
18,,13257
44,1,13261
22,,13261
15,1,13267
13,,13267
6,1,13269
1,,13273
1,1,13273
60,,13275
153,1,13275
115,1,13277
136,,13277
49,1,13279
17,,13279
29,1,13281
14,,13281
3,1,13283
3,,13283
179,1,13285
101,,13285
11,1,13287
3,,13287
20,,13291
23,1,13291
66,1,13293
39,,13293
87,1,13295
90,,13295
229,1,13297
107,,13297
76,1,13299
44,,13299
5,1,13303
1,,13303
17,,13305
24,1,13305
1,,13309
151,1,13311
85,,13311
370,,13313
470,1,13313
3,1,13315
2,,13315
51,1,13317
5,,13317
2,,13319
2,1,13319
8,,13321
4,1,13321
1088,1,15001
388,,15001
2068,,15003
5145,1,15003
400,1,15007
96,,15007
358,,15009
1163,1,15009
3596,1,16001
1526,,16001
3,1,16003
114,,16005
341,1,16005
5,1,16007
9,,16007
12,1,16009
13,,16009
51,1,16011
29,,16011
160,1,16013
37,,16013
3,1,16015
74,1,16017
29,,16017
320,1,16019
141,,16019
9,,16021
23,1,16021
8,1,16023
4,,16023
650,1,16027
396,,16027
6,1,16029
4,,16029
33,1,16031
9,,16031
2,,16035
8,1,16035
12,,16037
16,1,16037
43,1,16039
44,,16039
13,1,16041
34,,16041
24,,16043
39,1,16043
7,,16045
9,1,16045
14,,16047
2,1,16047
11,1,16049
3,,16049
18,1,16051
4,,16051
22,1,16053
12,,16053
881,1,16055
529,,16055
314,1,16057
113,,16057
18,1,16059
3,,16059
2,1,16061
84,1,16065
104,,16065
44,1,16067
18,,16067
182,1,16069
95,,16069
4,1,16071
5,,16071
23,1,16073
21,,16073
37,1,16075
27,,16075
2,1,16077
2,,16077
9,1,16079
10,,16079
77,1,16081
24,,16081
146,1,16083
131,,16083
96,1,16085
29,,16085
13,1,16087
1,,16087
220,1,17001
87,,17001
1,1,17003
1,,17003
23,1,17005
3,,17005
194,1,17007
89,,17007
129,1,17009
31,,17009
41,1,17011
13,,17011
45,1,17015
16,,17015
33,1,17017
14,,17017
1512,1,17019
305,,17019
57,1,17021
29,,17021
18,,17023
5,1,17023
20,,17025
16,1,17025
14,1,17027
19,,17027
408,1,17029
125,,17029
51726,1,17031
14308,,17031
21,1,17033
1,,17033
2,1,17035
604,1,17037
221,,17037
35,1,17039
20,,17039
14,1,17041
17,,17041
1641,,17043
5523,1,17043
24,1,17045
16,,17045
246,,17047
448,1,17047
69,1,17049
35,,17049
14,,17051
10,1,17051
5,,17053
21,1,17053
18,,17055
32,1,17055
8,1,17057
8,,17057
2,,17061
17,1,17061
171,1,17063
67,,17063
6,1,17065
8,,17065
13,1,17067
6,,17067
5,,17069
9,1,17069
182,1,17073
78,,17073
7,1,17075
13,,17075
75,,17077
344,1,17077
3,1,17079
3,,17079
106,1,17081
37,,17081
40,1,17083
20,,17083
83,1,17085
32,,17085
2,,17087
8,1,17087
2482,1,17089
903,,17089
133,,17091
204,1,17091
280,1,17093
127,,17093
182,1,17095
51,,17095
3538,1,17097
1133,,17097
255,1,17099
79,,17099
7,1,17101
6,,17101
125,1,17103
60,,17103
57,1,17105
28,,17105
22,1,17107
15,,17107
29,,17109
96,1,17109
1167,1,17111
545,,17111
1177,1,17113
449,,17113
224,1,17115
68,,17115
147,1,17117
63,,17117
1152,1,17119
603,,17119
66,1,17121
27,,17121
1,1,17123
29,1,17125
8,,17125
8,1,17127
3,,17127
11,1,17129
5,,17129
39,1,17131
17,,17131
152,1,17133
97,,17133
36,1,17135
16,,17135
37,,17137
103,1,17137
20,1,17139
8,,17139
137,,17141
408,1,17141
683,1,17143
308,,17143
16,1,17145
28,,17145
36,1,17147
49,,17147
8,,17149
6,1,17149
1,1,17151
50,1,17157
22,,17157
31,1,17159
23,,17159
1079,1,17161
283,,17161
766,1,17163
385,,17163
6,,17165
25,1,17165
788,1,17167
229,,17167
85,1,17169
53,,17169
1,1,17171
1,,17171
7,1,17173
13,,17173
7,1,17175
43,,17177
129,1,17177
404,1,17179
176,,17179
16,1,17181
12,,17181
91,1,17183
56,,17183
29,1,17185
20,,17185
15,,17187
18,1,17187
20,1,17189
6,,17189
21,1,17191
11,,17191
11,1,17193
7,,17193
122,1,17195
41,,17195
1871,1,17197
820,,17197
492,1,17199
288,,17199
402,,17201
1056,1,17201
126,1,17203
36,,17203
131,1,18001
63,,18001
1507,1,18003
658,,18003
318,1,18005
135,,18005
6,1,18009
7,,18009
427,1,18011
119,,18011
25,1,18013
31,,18013
25,1,18015
12,,18015
122,1,18017
50,,18017
425,1,18019
121,,18019
73,1,18021
40,,18021
36,1,18023
16,,18023
1,1,18025
2,,18025
60,1,18027
61,,18027
222,1,18029
94,,18029
51,1,18031
26,,18031
148,1,18033
65,,18033
316,1,18035
120,,18035
110,1,18037
42,,18037
887,1,18039
431,,18039
19,1,18041
14,,18041
105,,18043
308,1,18043
12,1,18045
2,,18045
11,1,18047
13,,18047
36,1,18049
20,,18049
36,1,18051
32,,18051
209,1,18053
109,,18053
34,1,18055
22,,18055
1694,1,18057
673,,18057
317,1,18059
144,,18059
71,1,18061
18,,18061
257,,18063
547,1,18063
71,1,18065
37,,18065
76,,18067
187,1,18067
57,,18069
61,1,18069
100,1,18071
65,,18071
56,1,18073
64,,18073
18,1,18075
7,,18075
133,1,18077
30,,18077
66,1,18079
11,,18079
605,1,18081
496,,18081
91,1,18083
45,,18083
342,1,18085
119,,18085
59,1,18087
22,,18087
1259,1,18089
597,,18089
115,,18091
273,1,18091
52,1,18093
24,,18093
296,1,18095
118,,18095
5102,1,18097
1459,,18097
163,1,18099
62,,18099
6,1,18101
2,,18101
33,,18103
58,1,18103
1290,1,18105
331,,18105
102,1,18107
54,,18107
100,1,18109
49,,18109
31,1,18111
29,,18111
80,,18113
151,1,18113
6,1,18115
9,,18115
48,,18117
30,1,18117
7,,18119
18,1,18119
1,,18121
9,1,18121
27,1,18123
5,,18123
18,1,18125
1,,18125
961,1,18127
354,,18127
6,,18129
7,1,18129
26,1,18131
12,,18131
88,1,18133
20,,18133
20,1,18135
7,,18135
121,1,18137
36,,18137
7,1,18139
12,,18139
1462,1,18141
496,,18141
30,1,18143
28,,18143
130,,18145
245,1,18145
24,1,18147
10,,18147
75,1,18149
23,,18149
132,1,18151
79,,18151
9,1,18153
1,,18153
5,1,18155
1,,18155
268,,18157
1069,1,18157
30,1,18159
14,,18159
12,1,18161
11,,18161
879,1,18163
312,,18163
90,1,18165
40,,18165
461,1,18167
134,,18167
22,1,18169
13,,18169
236,1,18173
74,,18173
143,1,18175
42,,18175
71,,18177
150,1,18177
55,1,18179
43,,18179
42,1,18181
21,,18181
142,1,18183
74,,18183
35,1,19001
7,,19001
5,1,19003
3,,19003
56,1,19005
5,,19005
65,1,19007
11,,19007
7,,19009
32,1,19009
195,1,19011
32,,19011
1820,1,19013
370,,19013
225,1,19015
33,,19015
212,1,19017
47,,19017
184,1,19019
44,,19019
99,1,19021
54,,19021
116,1,19023
17,,19023
22,1,19025
149,1,19027
28,,19027
42,1,19029
21,,19029
218,1,19031
23,,19031
460,1,19033
109,,19033
85,1,19035
14,,19035
52,1,19037
6,,19037
74,1,19039
24,,19039
152,1,19041
41,,19041
231,1,19043
30,,19043
102,,19045
438,1,19045
90,1,19047
41,,19047
315,1,19049
57,,19049
29,1,19051
17,,19051
32,1,19053
14,,19053
120,1,19055
27,,19055
117,,19057
545,1,19057
258,1,19059
60,,19059
1361,1,19061
254,,19061
68,1,19063
5,,19063
55,1,19065
13,,19065
25,,19067
213,1,19067
44,1,19069
6,,19069
15,1,19071
8,,19071
71,1,19073
8,,19073
28,1,19075
24,,19075
91,1,19077
15,,19077
60,1,19079
19,,19079
205,1,19081
24,,19081
11,,19083
65,1,19083
25,,19085
53,1,19085
155,1,19087
46,,19087
65,1,19089
10,,19089
24,1,19091
9,,19091
22,1,19093
155,1,19095
31,,19095
126,1,19097
15,,19097
259,1,19099
51,,19099
50,,19101
279,1,19101
3715,1,19103
726,,19103
128,1,19105
38,,19105
56,1,19107
5,,19107
89,1,19109
25,,19109
135,1,19111
40,,19111
4711,1,19113
1001,,19113
54,1,19115
23,,19115
53,1,19117
10,,19117
4,,19119
44,1,19119
44,1,19121
7,,19121
185,1,19123
44,,19123
448,1,19125
125,,19125
114,,19127
451,1,19127
75,1,19129
64,,19129
151,1,19131
29,,19131
7,,19133
26,1,19133
52,1,19135
8,,19135
77,1,19137
10,,19137
135,,19139
442,1,19139
31,,19141
74,1,19141
45,1,19143
13,,19143
81,1,19145
29,,19145
63,1,19147
8,,19147
165,1,19149
79,,19149
19,1,19151
3,,19151
10532,1,19153
2196,,19153
782,1,19155
209,,19155
186,1,19157
44,,19157
8,1,19159
1,,19159
36,1,19161
8,,19161
2956,1,19163
697,,19163
101,1,19165
19,,19165
376,1,19167
67,,19167
1489,1,19169
360,,19169
157,1,19171
27,,19171
6,1,19173
154,1,19175
47,,19175
17,,19177
100,1,19177
67,,19179
366,1,19179
39,,19181
340,1,19181
33,,19183
283,1,19183
32,1,19185
5,,19185
511,1,19187
121,,19187
53,1,19189
15,,19189
138,1,19191
42,,19191
1661,1,19193
479,,19193
7,1,19195
1,,19195
55,1,19197
4,,19197
14,,20001
27,1,20001
8,1,20003
8,,20003
57,1,20005
14,,20005
11,,20007
12,1,20007
111,1,20009
51,,20009
18,1,20011
13,,20011
48,1,20013
13,,20013
164,1,20015
73,,20015
20,1,20021
14,,20021
10,1,20027
7,,20027
18,1,20029
1,,20029
14,1,20031
11,,20031
64,1,20035
28,,20035
146,1,20037
62,,20037
59,1,20041
9,,20041
1,1,20043
223,,20045
1182,1,20045
106,,20051
164,1,20051
2,,20053
5,1,20053
74,1,20055
59,,20055
121,1,20057
56,,20057
53,1,20059
14,,20059
78,1,20061
34,,20061
21,1,20067
7,,20067
1,1,20069
6,,20069
120,1,20079
21,,20079
1,1,20081
24,1,20085
12,,20085
3,1,20087
6,,20087
3287,1,20091
1259,,20091
1,1,20093
2,1,20095
5,,20095
13,,20099
32,1,20099
289,1,20103
116,,20103
33,1,20107
11,,20107
27,1,20109
3,,20109
125,1,20111
49,,20111
50,,20113
63,1,20113
19,1,20115
5,,20115
25,1,20117
5,,20117
17,,20121
57,1,20121
10,1,20123
4,,20123
94,1,20125
49,,20125
11,1,20127
7,,20127
5,1,20129
7,1,20131
4,,20131
32,1,20133
12,,20133
7,1,20135
5,,20135
13,1,20137
7,,20137
10,1,20139
4,,20139
3,1,20143
2,,20143
2,,20145
2,,20147
8,1,20147
52,1,20149
19,,20149
24,1,20151
11,,20151
188,1,20155
83,,20155
5,1,20157
8,,20157
3,,20159
2,1,20159
496,1,20161
175,,20161
19,1,20167
10,,20167
57,,20169
163,1,20169
18,1,20171
8,,20171
2304,1,20173
929,,20173
52,1,20175
37,,20175
967,1,20177
289,,20177
13,1,20181
4,,20181
27,1,20189
16,,20189
18,1,20191
18,,20191
25,1,20193
16,,20193
1,1,20195
2,1,20197
5,1,20203
2,,20203
5,,20205
2,1,20205
419,1,20209
231,,20209
14,,21001
14,1,21001
22,1,21003
31,,21003
36,,21005
30,1,21005
15,1,21007
6,,21007
94,,21009
176,1,21009
5,1,21011
44,1,21013
33,,21013
816,1,21015
333,,21015
38,1,21017
9,,21017
293,1,21019
121,,21019
105,1,21021
29,,21021
5,1,21025
4,,21025
4,,21027
7,1,21027
191,1,21029
67,,21029
8,1,21031
1,,21031
6,,21033
24,1,21033
168,1,21035
43,,21035
649,1,21037
215,,21037
7,,21041
22,1,21041
37,1,21043
8,,21043
5,1,21045
151,1,21047
61,,21047
111,1,21049
64,,21049
78,1,21051
47,,21051
16,1,21053
2,,21053
6,1,21055
1,,21055
13,1,21057
10,,21057
344,1,21059
193,,21059
2,,21061
9,,21065
24,1,21065
609,,21067
2173,1,21067
4,,21069
10,1,21069
109,1,21071
50,,21071
332,1,21073
85,,21073
1,1,21075
2,,21075
6,1,21077
5,,21077
28,1,21079
5,,21079
76,1,21081
17,,21081
83,1,21083
36,,21083
6,1,21085
1,,21085
37,1,21089
17,,21089
13,1,21091
1,,21091
677,1,21093
475,,21093
35,1,21095
30,,21095
27,1,21097
6,,21097
23,1,21099
8,,21099
136,1,21101
53,,21101
2,1,21103
85,1,21107
54,,21107
26,1,21109
13,,21109
3761,1,21111
1348,,21111
490,1,21113
210,,21113
34,1,21115
26,,21115
1090,1,21117
324,,21117
44,1,21119
