"date_id","agg_views","video_shortened_id","candidate"
20151001,44945,2537,"Clinton"
20151001,10961,1325,"Trump"
20151001,12663,1349,"Trump"
20151001,53599,567,"Trump"
20151001,17258,1655,"Clinton"
20151001,12736,1094,"Clinton"
20151002,19387,1655,"Clinton"
20151002,12764,1094,"Clinton"
20151002,47145,2537,"Clinton"
20151002,11621,1325,"Trump"
20151002,13339,1349,"Trump"
20151002,56314,567,"Trump"
20151003,14086,1349,"Trump"
20151003,59098,567,"Trump"
20151003,12121,1490,"Clinton"
20151003,21710,1655,"Clinton"
20151003,12786,1094,"Clinton"
20151003,12218,1325,"Trump"
20151004,12727,1325,"Trump"
20151004,191725,922,"Clinton"
20151004,14863,1349,"Trump"
20151004,61924,567,"Trump"
20151004,24120,1655,"Clinton"
20151004,12816,1094,"Clinton"
20151005,13262,1325,"Trump"
20151005,192754,922,"Clinton"
20151005,15575,1349,"Trump"
20151005,64519,567,"Trump"
20151005,25998,1655,"Clinton"
20151005,12838,1094,"Clinton"
20151006,13762,1325,"Trump"
20151006,195798,922,"Clinton"
20151006,13180,1490,"Clinton"
20151006,16414,1349,"Trump"
20151006,66575,567,"Trump"
20151006,27022,1655,"Clinton"
20151007,28107,1655,"Clinton"
20151007,14206,1325,"Trump"
20151007,199315,922,"Clinton"
20151007,13710,1490,"Clinton"
20151007,17169,1349,"Trump"
20151007,68483,567,"Trump"
20151008,17802,1349,"Trump"
20151008,70496,567,"Trump"
20151008,29118,1655,"Clinton"
20151008,14674,1325,"Trump"
20151008,199884,922,"Clinton"
20151008,14230,1490,"Clinton"
20151009,18499,1349,"Trump"
20151009,72765,567,"Trump"
20151009,30073,1655,"Clinton"
20151009,58027,2537,"Clinton"
20151009,15241,1325,"Trump"
20151009,200098,922,"Clinton"
20151010,15732,1325,"Trump"
20151010,200279,922,"Clinton"
20151010,19224,1349,"Trump"
20151010,75099,567,"Trump"
20151010,30986,1655,"Clinton"
20151010,59227,2537,"Clinton"
20151011,16188,1325,"Trump"
20151011,200443,922,"Clinton"
20151011,20030,1349,"Trump"
20151011,77276,567,"Trump"
20151011,32452,1655,"Clinton"
20151011,65867,2537,"Clinton"
20151012,16755,1325,"Trump"
20151012,200652,922,"Clinton"
20151012,20845,1349,"Trump"
20151012,79545,567,"Trump"
20151012,36689,1655,"Clinton"
20151012,75729,2537,"Clinton"
20151013,82066,567,"Trump"
20151013,40063,1655,"Clinton"
20151013,85688,2537,"Clinton"
20151013,17364,1325,"Trump"
20151013,200829,922,"Clinton"
20151013,21704,1349,"Trump"
20151014,22573,1349,"Trump"
20151014,84499,567,"Trump"
20151014,41994,1655,"Clinton"
20151014,94238,2537,"Clinton"
20151014,17928,1325,"Trump"
20151014,200952,922,"Clinton"
20151015,18503,1325,"Trump"
20151015,201082,922,"Clinton"
20151015,23337,1349,"Trump"
20151015,87002,567,"Trump"
20151015,101399,2537,"Clinton"
20151015,211322,2554,"Clinton"
20151016,19066,1325,"Trump"
20151016,201167,922,"Clinton"
20151016,24050,1349,"Trump"
20151016,89527,567,"Trump"
20151016,112427,2537,"Clinton"
20151016,241583,2554,"Clinton"
20151017,241583,2554,"Clinton"
20151017,17982,1325,"Trump"
20151017,201167,922,"Clinton"
20151017,23135,1349,"Trump"
20151017,86450,567,"Trump"
20151017,112427,2537,"Clinton"
20151018,112427,2537,"Clinton"
20151018,241583,2554,"Clinton"
20151018,17275,1325,"Trump"
20151018,201167,922,"Clinton"
20151018,22351,1349,"Trump"
20151018,83430,567,"Trump"
20151019,21714,1349,"Trump"
20151019,80633,567,"Trump"
20151019,112427,2537,"Clinton"
20151019,241583,2554,"Clinton"
20151019,16593,1325,"Trump"
20151019,201167,922,"Clinton"
20151020,15753,1325,"Trump"
20151020,201164,922,"Clinton"
20151020,20804,1349,"Trump"
20151020,77278,567,"Trump"
20151020,112427,2537,"Clinton"
20151020,241583,2554,"Clinton"
20151021,15167,1325,"Trump"
20151021,172169,922,"Clinton"
20151021,20043,1349,"Trump"
20151021,74073,567,"Trump"
20151021,112427,2537,"Clinton"
20151021,241583,2554,"Clinton"
20151022,14562,1325,"Trump"
20151022,66239,922,"Clinton"
20151022,19202,1349,"Trump"
20151022,71511,567,"Trump"
20151022,112427,2537,"Clinton"
20151022,241583,2554,"Clinton"
20151023,112427,2537,"Clinton"
20151023,241583,2554,"Clinton"
20151023,46444,1655,"Clinton"
20151023,13955,1325,"Trump"
20151023,18432,1349,"Trump"
20151023,68813,567,"Trump"
20151024,17626,1349,"Trump"
20151024,66154,567,"Trump"
20151024,112427,2537,"Clinton"
20151024,241583,2554,"Clinton"
20151024,46414,1655,"Clinton"
20151024,13383,1325,"Trump"
20151025,16796,1349,"Trump"
20151025,61842,567,"Trump"
20151025,109879,2537,"Clinton"
20151025,241583,2554,"Clinton"
20151025,46178,1655,"Clinton"
20151025,12722,1325,"Trump"
20151026,44006,1655,"Clinton"
20151026,12022,1325,"Trump"
20151026,16107,1349,"Trump"
20151026,54474,567,"Trump"
20151026,104105,2537,"Clinton"
20151026,241583,2554,"Clinton"
20151027,41761,1655,"Clinton"
20151027,11165,1325,"Trump"
20151027,50094,567,"Trump"
20151027,15398,1349,"Trump"
20151027,99682,2537,"Clinton"
20151027,241583,2554,"Clinton"
20151028,241583,2554,"Clinton"
20151028,39382,1865,"Clinton"
20151028,94199,2537,"Clinton"
20151028,10455,1325,"Trump"
20151028,14728,1349,"Trump"
20151028,47068,567,"Trump"
20151029,9809,1325,"Trump"
20151029,13866,1349,"Trump"
20151029,44278,567,"Trump"
20151029,39382,1865,"Clinton"
20151029,86367,2537,"Clinton"
20151029,241583,2554,"Clinton"
20151030,241583,2554,"Clinton"
20151030,9292,1325,"Trump"
20151030,13027,1349,"Trump"
20151030,41257,567,"Trump"
20151030,39382,1865,"Clinton"
20151030,78191,2537,"Clinton"
20151031,70553,2537,"Clinton"
20151031,239213,2554,"Clinton"
20151031,8652,1325,"Trump"
20151031,12168,1349,"Trump"
20151031,38609,567,"Trump"
20151031,39382,1865,"Clinton"
20151101,18338,2537,"Clinton"
20151101,64383,2759,"Clinton"
20151101,56703,2554,"Clinton"
20151101,11771,1349,"Trump"
20151101,10876,1325,"Trump"
20151101,38797,567,"Trump"
20151102,23464,2809,"Clinton"
20151102,67576,2759,"Clinton"
20151102,56739,2554,"Clinton"
20151102,12545,1349,"Trump"
20151102,11480,1325,"Trump"
20151102,40938,567,"Trump"
20151103,43118,567,"Trump"
20151103,144202,2319,"Clinton"
20151103,70771,2759,"Clinton"
20151103,56785,2554,"Clinton"
20151103,13274,1349,"Trump"
20151103,12066,1325,"Trump"
20151104,14143,1349,"Trump"
20151104,12649,1325,"Trump"
20151104,45204,567,"Trump"
20151104,149995,2319,"Clinton"
20151104,74081,2759,"Clinton"
20151104,56833,2554,"Clinton"
20151105,75965,2759,"Clinton"
20151105,56875,2554,"Clinton"
20151105,14782,1349,"Trump"
20151105,13172,1325,"Trump"
20151105,47780,567,"Trump"
20151105,153154,2319,"Clinton"
20151106,153177,2319,"Clinton"
20151106,75965,2759,"Clinton"
20151106,56918,2554,"Clinton"
20151106,15485,1349,"Trump"
20151106,13866,1325,"Trump"
20151106,50313,567,"Trump"
20151107,153208,2319,"Clinton"
20151107,75965,2759,"Clinton"
20151107,56973,2554,"Clinton"
20151107,16187,1349,"Trump"
20151107,14971,1325,"Trump"
20151107,52600,567,"Trump"
20151108,153244,2319,"Clinton"
20151108,75965,2759,"Clinton"
20151108,57028,2554,"Clinton"
20151108,16900,1349,"Trump"
20151108,15693,1325,"Trump"
20151108,54701,567,"Trump"
20151109,17495,1349,"Trump"
20151109,16556,1325,"Trump"
20151109,56652,567,"Trump"
20151109,153268,2319,"Clinton"
20151109,75965,2759,"Clinton"
20151109,57071,2554,"Clinton"
20151110,17420,1325,"Trump"
20151110,75965,2759,"Clinton"
20151110,57121,2554,"Clinton"
20151110,18064,1349,"Trump"
20151110,58510,567,"Trump"
20151110,153294,2319,"Clinton"
20151111,153312,2319,"Clinton"
20151111,18256,1325,"Trump"
20151111,75965,2759,"Clinton"
20151111,57150,2554,"Clinton"
20151111,18580,1349,"Trump"
20151111,60329,567,"Trump"
20151112,153327,2319,"Clinton"
20151112,19014,1325,"Trump"
20151112,75965,2759,"Clinton"
20151112,57187,2554,"Clinton"
20151112,19107,1349,"Trump"
20151112,62200,567,"Trump"
20151113,153347,2319,"Clinton"
20151113,19673,1325,"Trump"
20151113,75965,2759,"Clinton"
20151113,57224,2554,"Clinton"
20151113,19672,1349,"Trump"
20151113,64117,567,"Trump"
20151114,20226,1349,"Trump"
20151114,66250,567,"Trump"
20151114,153375,2319,"Clinton"
20151114,20364,1325,"Trump"
20151114,57266,2554,"Clinton"
20151114,75965,2759,"Clinton"
20151115,57308,2554,"Clinton"
20151115,75965,2759,"Clinton"
20151115,20911,1349,"Trump"
20151115,68202,567,"Trump"
20151115,153390,2319,"Clinton"
20151115,20935,1325,"Trump"
20151116,20935,1325,"Trump"
20151116,57308,2554,"Clinton"
20151116,75965,2759,"Clinton"
20151116,20911,1349,"Trump"
20151116,68202,567,"Trump"
20151116,153390,2319,"Clinton"
20151117,153390,2319,"Clinton"
20151117,20278,1325,"Trump"
20151117,69498,2759,"Clinton"
20151117,20166,1349,"Trump"
20151117,65635,567,"Trump"
20151117,29434,1832,"Clinton"
20151118,153390,2319,"Clinton"
20151118,19739,1325,"Trump"
20151118,66470,2759,"Clinton"
20151118,19464,1349,"Trump"
20151118,63212,567,"Trump"
20151118,29434,1832,"Clinton"
20151119,60762,567,"Trump"
20151119,29434,1832,"Clinton"
20151119,149217,2319,"Clinton"
20151119,19126,1325,"Trump"
20151119,63214,2759,"Clinton"
20151119,18685,1349,"Trump"
20151120,17962,1349,"Trump"
20151120,58635,567,"Trump"
20151120,16830,1832,"Clinton"
20151120,136314,2319,"Clinton"
20151120,18379,1325,"Trump"
20151120,58541,2759,"Clinton"
20151121,17672,1325,"Trump"
20151121,17173,1349,"Trump"
20151121,56392,567,"Trump"
20151121,11134,900,"Clinton"
20151121,9299,1832,"Clinton"
20151121,122371,2319,"Clinton"
20151122,108475,2319,"Clinton"
20151122,17031,1325,"Trump"
20151122,16488,1349,"Trump"
20151122,54382,567,"Trump"
20151122,11125,900,"Clinton"
20151122,7777,1832,"Clinton"
20151123,95125,2319,"Clinton"
20151123,45870,2759,"Clinton"
20151123,16363,1325,"Trump"
20151123,15782,1349,"Trump"
20151123,51823,567,"Trump"
20151123,11122,900,"Clinton"
20151124,11103,900,"Clinton"
20151124,15613,1325,"Trump"
20151124,82117,2319,"Clinton"
20151124,7408,1787,"Clinton"
20151124,14984,1349,"Trump"
20151124,49418,567,"Trump"
20151125,15072,1325,"Trump"
20151125,7407,1787,"Clinton"
20151125,14338,1349,"Trump"
20151125,47112,567,"Trump"
20151125,67542,2319,"Clinton"
20151125,11088,900,"Clinton"
20151126,14492,1325,"Trump"
20151126,13640,1349,"Trump"
20151126,44498,567,"Trump"
20151126,7403,1787,"Clinton"
20151126,54672,2319,"Clinton"
20151126,11060,900,"Clinton"
20151127,41877,567,"Trump"
20151127,47984,2319,"Clinton"
20151127,11048,900,"Clinton"
20151127,13325,2556,"Clinton"
20151127,13843,1325,"Trump"
20151127,12880,1349,"Trump"
20151128,12189,1349,"Trump"
20151128,39224,567,"Trump"
20151128,42664,2319,"Clinton"
20151128,11046,900,"Clinton"
20151128,13325,2556,"Clinton"
20151128,12818,1325,"Trump"
20151129,12128,1325,"Trump"
20151129,11461,1349,"Trump"
20151129,37296,567,"Trump"
20151129,37214,2319,"Clinton"
20151129,11037,900,"Clinton"
20151129,13325,2556,"Clinton"
20151130,11326,1325,"Trump"
20151130,10620,1349,"Trump"
20151130,33925,567,"Trump"
20151130,31882,2319,"Clinton"
20151130,13325,2556,"Clinton"
20151130,4058,1853,"Clinton"
20151201,13000,1325,"Trump"
20151201,233148,1802,"Clinton"
20151201,17173,1349,"Trump"
20151201,35296,567,"Trump"
20151201,5071,1832,"Clinton"
20151201,36452,843,"Clinton"
20151202,5995,1832,"Clinton"
20151202,36545,843,"Clinton"
20151202,14089,1325,"Trump"
20151202,243961,1802,"Clinton"
20151202,18174,1349,"Trump"
20151202,39749,567,"Trump"
20151203,254067,1802,"Clinton"
20151203,19037,1349,"Trump"
20151203,43209,567,"Trump"
20151203,6108,1832,"Clinton"
20151203,36632,843,"Clinton"
20151203,15338,1325,"Trump"
20151204,36252,2787,"Clinton"
20151204,16534,1325,"Trump"
20151204,263564,1802,"Clinton"
20151204,19828,1349,"Trump"
20151204,46236,567,"Trump"
20151204,36699,843,"Clinton"
20151205,36721,2787,"Clinton"
20151205,17787,1325,"Trump"
20151205,272868,1802,"Clinton"
20151205,20710,1349,"Trump"
20151205,49592,567,"Trump"
20151205,36828,843,"Clinton"
20151206,36828,2787,"Clinton"
20151206,18981,1325,"Trump"
20151206,277046,1802,"Clinton"
20151206,21622,1349,"Trump"
20151206,52340,567,"Trump"
20151206,36905,843,"Clinton"
20151207,36978,843,"Clinton"
20151207,36940,2787,"Clinton"
20151207,20136,1325,"Trump"
20151207,277048,1802,"Clinton"
20151207,22544,1349,"Trump"
20151207,55676,567,"Trump"
20151208,23414,1349,"Trump"
20151208,58494,567,"Trump"
20151208,37071,843,"Clinton"
20151208,37040,2787,"Clinton"
20151208,21371,1325,"Trump"
20151208,277050,1802,"Clinton"
20151209,277050,1802,"Clinton"
20151209,24173,1349,"Trump"
20151209,60772,567,"Trump"
20151209,37106,843,"Clinton"
20151209,37101,2787,"Clinton"
20151209,22385,1325,"Trump"
20151210,37174,2787,"Clinton"
20151210,23187,1325,"Trump"
20151210,277050,1802,"Clinton"
20151210,24733,1349,"Trump"
20151210,63324,567,"Trump"
20151210,37145,843,"Clinton"
20151211,37243,2787,"Clinton"
20151211,24156,1325,"Trump"
20151211,277050,1802,"Clinton"
20151211,25397,1349,"Trump"
20151211,65581,567,"Trump"
20151211,37616,843,"Clinton"
20151212,37295,2787,"Clinton"
20151212,25106,1325,"Trump"
20151212,277050,1802,"Clinton"
20151212,25976,1349,"Trump"
20151212,68096,567,"Trump"
20151212,37838,843,"Clinton"
20151213,70531,567,"Trump"
20151213,37965,843,"Clinton"
20151213,37385,2787,"Clinton"
20151213,26156,1325,"Trump"
20151213,277050,1802,"Clinton"
20151213,26686,1349,"Trump"
20151214,277050,1802,"Clinton"
20151214,27405,1349,"Trump"
20151214,73530,567,"Trump"
20151214,38037,843,"Clinton"
20151214,37464,2787,"Clinton"
20151214,27280,1325,"Trump"
20151215,37535,2787,"Clinton"
20151215,28418,1325,"Trump"
20151215,277050,1802,"Clinton"
20151215,28099,1349,"Trump"
20151215,79518,567,"Trump"
20151215,38096,843,"Clinton"
20151216,37617,2787,"Clinton"
20151216,29326,1325,"Trump"
20151216,277051,1802,"Clinton"
20151216,28783,1349,"Trump"
20151216,82499,567,"Trump"
20151216,38138,843,"Clinton"
20151217,37617,2787,"Clinton"
20151217,28745,1325,"Trump"
20151217,264253,1802,"Clinton"
20151217,28066,1349,"Trump"
20151217,80602,567,"Trump"
20151217,31765,843,"Clinton"
20151218,20884,843,"Clinton"
20151218,37617,2787,"Clinton"
20151218,28122,1325,"Trump"
20151218,250428,1802,"Clinton"
20151218,27359,1349,"Trump"
20151218,78897,567,"Trump"
20151219,237583,1802,"Clinton"
20151219,26669,1349,"Trump"
20151219,77274,567,"Trump"
20151219,13548,843,"Clinton"
20151219,37617,2787,"Clinton"
20151219,27453,1325,"Trump"
20151220,37616,2787,"Clinton"
20151220,26816,1325,"Trump"
20151220,225648,1802,"Clinton"
20151220,25989,1349,"Trump"
20151220,75394,567,"Trump"
20151220,8448,843,"Clinton"
20151221,37609,2787,"Clinton"
20151221,26160,1325,"Trump"
20151221,212164,1802,"Clinton"
20151221,25275,1349,"Trump"
20151221,73462,567,"Trump"
20151221,6456,1095,"Clinton"
20151222,36923,2787,"Clinton"
20151222,198644,1802,"Clinton"
20151222,24487,1349,"Trump"
20151222,25514,1325,"Trump"
20151222,71169,567,"Trump"
20151222,6346,1095,"Clinton"
20151223,6274,1095,"Clinton"
20151223,32037,2787,"Clinton"
20151223,183633,1802,"Clinton"
20151223,23393,1349,"Trump"
20151223,24872,1325,"Trump"
20151223,69263,567,"Trump"
20151224,21507,1349,"Trump"
20151224,23994,1325,"Trump"
20151224,67120,567,"Trump"
20151224,20877,2787,"Clinton"
20151224,167998,1802,"Clinton"
20151224,6189,1832,"Clinton"
20151225,152503,1802,"Clinton"
20151225,23127,1325,"Trump"
20151225,6186,1832,"Clinton"
20151225,19733,1349,"Trump"
20151225,64689,567,"Trump"
20151225,13452,2787,"Clinton"
20151226,8924,2787,"Clinton"
20151226,137834,1802,"Clinton"
20151226,22179,1325,"Trump"
20151226,6181,1832,"Clinton"
20151226,18237,1349,"Trump"
20151226,62568,567,"Trump"
20151227,6633,2787,"Clinton"
20151227,21308,1325,"Trump"
20151227,6177,1832,"Clinton"
20151227,5014,1095,"Clinton"
20151227,17036,1349,"Trump"
20151227,60586,567,"Trump"
20151228,5256,2787,"Clinton"
20151228,106447,1802,"Clinton"
20151228,20211,1325,"Trump"
20151228,6159,1832,"Clinton"
20151228,16013,1349,"Trump"
20151228,58030,567,"Trump"
20151229,15074,1349,"Trump"
20151229,55545,567,"Trump"
20151229,4486,2868,"Clinton"
20151229,4743,1833,"Clinton"
20151229,4817,1095,"Clinton"
20151229,19316,1325,"Trump"
20151230,14111,1349,"Trump"
20151230,53521,567,"Trump"
20151230,72963,1802,"Clinton"
20151230,4743,1833,"Clinton"
20151230,4791,1095,"Clinton"
20151230,18509,1325,"Trump"
20151231,4743,1833,"Clinton"
20151231,4771,1095,"Clinton"
20151231,17459,1325,"Trump"
20151231,12889,1349,"Trump"
20151231,51309,567,"Trump"
20151231,55475,1802,"Clinton"
20160101,6555,1095,"Clinton"
20160101,18471,1325,"Trump"
20160101,13814,1349,"Trump"
20160101,59199,567,"Trump"
20160101,4937,1912,"Clinton"
20160101,12135,1791,"Clinton"
20160102,4985,1912,"Clinton"
20160102,12227,1791,"Clinton"
20160102,6831,1095,"Clinton"
20160102,20187,1325,"Trump"
20160102,14796,1349,"Trump"
20160102,62824,567,"Trump"
20160103,66305,567,"Trump"
20160103,12334,1791,"Clinton"
20160103,98403,885,"Clinton"
20160103,6988,1095,"Clinton"
20160103,21706,1325,"Trump"
20160103,16174,1349,"Trump"
20160104,11733,2269,"Clinton"
20160104,17302,1349,"Trump"
20160104,69550,567,"Trump"
20160104,12424,1791,"Clinton"
20160104,106920,885,"Clinton"
20160104,22933,1325,"Trump"
20160105,24104,1325,"Trump"
20160105,11855,2269,"Clinton"
20160105,18317,1349,"Trump"
20160105,73435,567,"Trump"
20160105,12499,1791,"Clinton"
20160105,114345,885,"Clinton"
20160106,119300,885,"Clinton"
20160106,25954,1325,"Trump"
20160106,12197,2269,"Clinton"
20160106,19234,1349,"Trump"
20160106,76663,567,"Trump"
20160106,12671,1791,"Clinton"
20160107,12881,1791,"Clinton"
20160107,123975,885,"Clinton"
20160107,27519,1325,"Trump"
20160107,12436,2269,"Clinton"
20160107,20491,1349,"Trump"
20160107,79866,567,"Trump"
20160108,13004,1791,"Clinton"
20160108,128295,885,"Clinton"
20160108,29032,1325,"Trump"
20160108,93717,1998,"Clinton"
20160108,21815,1349,"Trump"
20160108,83404,567,"Trump"
20160109,22881,1349,"Trump"
20160109,86521,567,"Trump"
20160109,13131,1791,"Clinton"
20160109,132047,885,"Clinton"
20160109,30374,1325,"Trump"
20160109,93795,1998,"Clinton"
20160110,31526,1325,"Trump"
20160110,94099,1998,"Clinton"
20160110,23931,1349,"Trump"
20160110,90052,567,"Trump"
20160110,13230,1791,"Clinton"
20160110,133345,885,"Clinton"
20160111,32747,1325,"Trump"
20160111,94199,1998,"Clinton"
20160111,25103,1349,"Trump"
20160111,93499,567,"Trump"
20160111,13338,1791,"Clinton"
20160111,133349,885,"Clinton"
20160112,133350,885,"Clinton"
20160112,34716,1965,"Clinton"
20160112,34081,1325,"Trump"
20160112,94352,1998,"Clinton"
20160112,26317,1349,"Trump"
20160112,97028,567,"Trump"
20160113,133350,885,"Clinton"
20160113,35126,1965,"Clinton"
20160113,35343,1325,"Trump"
20160113,94471,1998,"Clinton"
20160113,27626,1349,"Trump"
20160113,102803,567,"Trump"
20160114,28803,1349,"Trump"
20160114,107287,567,"Trump"
20160114,133350,885,"Clinton"
20160114,35368,1965,"Clinton"
20160114,36653,1325,"Trump"
20160114,94566,1998,"Clinton"
20160115,53198,1434,"Clinton"
20160115,94620,1998,"Clinton"
20160115,29960,1349,"Trump"
20160115,112932,567,"Trump"
20160115,133350,885,"Clinton"
20160115,38160,1325,"Trump"
20160116,39894,1325,"Trump"
20160116,53200,1434,"Clinton"
20160116,94747,1998,"Clinton"
20160116,209534,1939,"Trump"
20160116,123419,567,"Trump"
20160116,133351,885,"Clinton"
20160117,133351,885,"Clinton"
20160117,38915,1325,"Trump"
20160117,53200,1434,"Clinton"
20160117,94747,1998,"Clinton"
20160117,209534,1939,"Trump"
20160117,119891,567,"Trump"
20160118,209534,1939,"Trump"
20160118,133351,885,"Clinton"
20160118,37933,1325,"Trump"
20160118,53200,1434,"Clinton"
20160118,94747,1998,"Clinton"
20160118,112988,567,"Trump"
20160119,36932,1325,"Trump"
20160119,209534,1939,"Trump"
20160119,133350,885,"Clinton"
20160119,108637,567,"Trump"
20160119,53200,1434,"Clinton"
20160119,94747,1998,"Clinton"
20160120,35811,1325,"Trump"
20160120,209534,1939,"Trump"
20160120,94747,1998,"Clinton"
20160120,133349,885,"Clinton"
